,precip,mintemp,maxtemp
0,15.24002,23.680468,32.563854
1,18.20457,23.262829,33.40356
2,183.88974,24.018576,32.08672
3,194.70218,23.167221,31.602726
4,73.65574,22.194983,31.04236
5,98.20024,20.599724,29.072342
6,24.04104,20.460728,29.521162
7,44.89801,19.978992,29.263508
8,12.009275,19.644098,30.315851
9,6.422736,20.482708,31.197117
10,81.48255,22.979618,31.392813
11,191.84346,23.950243,31.458855
12,83.29279,24.982033,31.400831
13,54.26905,24.805538,33.032204
14,105.13236,24.223265,32.858593
15,280.70288,22.9792,30.631372
16,135.34921,22.383003,30.246529
17,69.2498,20.575766,29.060364
18,20.37877,19.5425,29.086788
19,9.578324,19.223785,29.659342
20,6.543336,19.960243,30.899704
21,10.350022,21.398335,31.479929
22,42.170635,22.00045,32.010002
23,78.531204,24.09191,32.410416
24,107.12601,25.1263,31.98729
25,113.55974,24.205538,32.11554
26,158.2408,24.607119,32.08776
27,389.4653,23.671389,30.631372
28,63.04738,21.966858,31.02986
29,18.207005,20.663265,29.847343
30,27.400764,19.94198,29.886267
31,87.78762,20.279514,28.776007
32,62.108086,20.547743,30.10335
33,76.546844,21.897812,31.51222
34,89.87073,23.07545,31.988647
35,136.06897,24.050243,32.42656
36,23.523554,24.855469,32.671665
37,29.77051,24.829496,33.898872
38,77.56407,24.347223,33.77057
39,95.83315,23.571388,32.494392
40,178.85365,22.774149,30.76684
41,71.78435,21.6591,30.060364
42,21.821608,19.713854,28.574287
43,5.1821976,19.38316,30.051008
44,22.040197,20.331596,30.51637
45,31.609121,21.085833,31.396595
46,40.085728,22.800972,32.585003
47,46.96539,23.97889,32.509895
48,71.6864,25.114323,33.071667
49,135.67532,24.905539,32.444706
50,123.13571,24.735243,32.387238
51,299.34665,23.567741,30.603247
52,15.895713,21.770504,30.734028
53,53.147217,20.163265,29.347343
54,7.7070675,19.44198,29.853455
55,11.936798,18.98368,29.735382
56,28.154829,20.344097,29.999704
57,104.26651,21.011353,30.009096
58,107.30345,22.192118,31.276667
59,126.76955,23.779411,31.126562
60,85.15017,23.85599,32.272186
61,30.879612,23.77585,32.71189
62,164.4073,23.960241,32.671093
63,182.0533,23.467222,31.515226
64,221.9205,21.915815,30.046528
65,12.484107,20.363264,29.247864
66,13.266311,20.029999,28.378454
67,33.777042,19.6592,29.643717
68,34.83592,19.856077,30.428349
69,58.289024,21.07802,31.208576
70,22.168543,22.392118,32.28917
71,12.399968,23.120035,32.18177
72,33.87949,24.614323,33.454998
73,36.13752,24.421684,33.903038
74,218.61818,24.806597,32.187237
75,336.22232,22.967743,30.319393
76,143.14595,22.41165,30.358507
77,113.16808,21.37941,29.547863
78,30.793842,19.942501,28.698767
79,13.96622,20.167013,29.634863
80,37.308865,20.543577,29.82835
81,106.793365,21.769688,31.196075
82,197.31325,22.663994,30.805834
83,233.99025,23.695036,30.471874
84,37.991867,24.84349,31.70031
85,50.25185,24.146683,32.244705
86,187.3409,23.831598,31.796093
87,174.65,22.987535,31.135017
88,170.23805,22.399149,30.346527
89,33.52149,20.975245,29.659843
90,19.419424,19.73,28.874287
91,49.022068,19.675346,29.676529
92,27.201834,20.944098,31.41637
93,52.297787,21.698334,31.396595
94,74.0184,22.204618,32.085
95,85.25691,24.19191,31.955729
96,38.215836,24.251303,32.367496
97,92.25259,23.55033,31.34835
98,189.41399,23.023264,31.503904
99,226.3445,23.179722,30.202726
100,101.5685,21.599148,30.246529
101,16.908113,19.851286,28.847864
102,12.402061,19.529478,28.786268
103,10.589736,20.038368,29.622883
104,18.563398,20.527431,31.587204
105,60.752224,21.498854,31.497116
106,99.47104,22.605139,31.885523
107,29.50383,23.807535,32.42656
108,22.42759,24.255468,33.283646
109,67.475586,23.746162,32.344704
110,77.151726,23.635763,32.662758
111,169.80025,22.587534,30.594393
112,50.959705,21.983004,30.730381
113,38.667,21.275244,30.359844
114,16.001493,19.713333,29.161789
115,8.751198,20.422222,29.839027
116,4.3861284,20.443577,31.220016
117,60.710182,21.76604,31.497116
118,74.14445,22.875973,31.389168
119,111.87135,24.562744,33.12656
